Orthogroup	A_granulata_2	O_bimaculoides_2
OG0000000	A_granulata|model.g24978.t1_1	O_bimaculoides|XP_014771511.1, O_bimaculoides|XP_014780432.1, O_bimaculoides|XP_014767873.1, O_bimaculoides|XP_014777119.1, O_bimaculoides|XP_014782583.1, O_bimaculoides|XP_014787392.1, O_bimaculoides|XP_014788767.1, O_bimaculoides|XP_014778851.1, O_bimaculoides|XP_014771000.1, O_bimaculoides|XP_014788766.1, O_bimaculoides|XP_014769801.1, O_bimaculoides|XP_014775061.1, O_bimaculoides|XP_014777876.1, O_bimaculoides|XP_014777878.1, O_bimaculoides|XP_014777873.1, O_bimaculoides|XP_014783006.1, O_bimaculoides|XP_014783007.1, O_bimaculoides|XP_014777880.1, O_bimaculoides|XP_014785424.1, O_bimaculoides|XP_014789954.1, O_bimaculoides|XP_014790351.1, O_bimaculoides|XP_014777875.1, O_bimaculoides|XP_014777872.1, O_bimaculoides|XP_014790859.1, O_bimaculoides|XP_014787196.1, O_bimaculoides|XP_014769713.1, O_bimaculoides|XP_014769313.1, O_bimaculoides|XP_014769791.1, O_bimaculoides|XP_014784259.1, O_bimaculoides|XP_014787344.1, O_bimaculoides|XP_014769699.1, O_bimaculoides|XP_014769719.1, O_bimaculoides|XP_014775427.1, O_bimaculoides|XP_014784290.1, O_bimaculoides|XP_014767658.1, O_bimaculoides|XP_014776277.1, O_bimaculoides|XP_014780995.1, O_bimaculoides|XP_014776271.1, O_bimaculoides|XP_014776272.1, O_bimaculoides|XP_014776276.1, O_bimaculoides|XP_014776273.1, O_bimaculoides|XP_014776278.1, O_bimaculoides|XP_014769127.1, O_bimaculoides|XP_014784179.1, O_bimaculoides|XP_014790673.1, O_bimaculoides|XP_014774826.1, O_bimaculoides|XP_014790676.1, O_bimaculoides|XP_014781180.1, O_bimaculoides|XP_014775429.1, O_bimaculoides|XP_014784292.1, O_bimaculoides|XP_014777871.1, O_bimaculoides|XP_014772601.1, O_bimaculoides|XP_014781172.1, O_bimaculoides|XP_014784939.1, O_bimaculoides|XP_014784079.1, O_bimaculoides|XP_014787517.1, O_bimaculoides|XP_014784044.1, O_bimaculoides|XP_014787654.1, O_bimaculoides|XP_014775413.1, O_bimaculoides|XP_014787207.1, O_bimaculoides|XP_014775301.1, O_bimaculoides|XP_014781177.1, O_bimaculoides|XP_014784295.1, O_bimaculoides|XP_014775062.1, O_bimaculoides|XP_014782517.1, O_bimaculoides|XP_014784859.1, O_bimaculoides|XP_014790818.1, O_bimaculoides|XP_014769707.1, O_bimaculoides|XP_014769706.1, O_bimaculoides|XP_014784798.1, O_bimaculoides|XP_014784779.1, O_bimaculoides|XP_014784631.1, O_bimaculoides|XP_014784735.1, O_bimaculoides|XP_014771284.1, O_bimaculoides|XP_014771285.1, O_bimaculoides|XP_014781185.1, O_bimaculoides|XP_014782536.1, O_bimaculoides|XP_014784643.1, O_bimaculoides|XP_014769698.1, O_bimaculoides|XP_014784867.1, O_bimaculoides|XP_014790857.1, O_bimaculoides|XP_014776402.1, O_bimaculoides|XP_014783005.1, O_bimaculoides|XP_014777874.1, O_bimaculoides|XP_014782605.1, O_bimaculoides|XP_014778210.1, O_bimaculoides|XP_014769125.1, O_bimaculoides|XP_014778209.1, O_bimaculoides|XP_014773424.1, O_bimaculoides|XP_014769712.1, O_bimaculoides|XP_014783882.1, O_bimaculoides|XP_014783883.1, O_bimaculoides|XP_014783880.1, O_bimaculoides|XP_014783896.1, O_bimaculoides|XP_014783901.1, O_bimaculoides|XP_014783020.1, O_bimaculoides|XP_014767519.1, O_bimaculoides|XP_014782913.1, O_bimaculoides|XP_014783009.1, O_bimaculoides|XP_014787198.1, O_bimaculoides|XP_014779315.1, O_bimaculoides|XP_014769786.1, O_bimaculoides|XP_014769798.1, O_bimaculoides|XP_014772736.1, O_bimaculoides|XP_014776279.1, O_bimaculoides|XP_014789947.1, O_bimaculoides|XP_014769799.1, O_bimaculoides|XP_014785854.1, O_bimaculoides|XP_014791207.1, O_bimaculoides|XP_014781812.1, O_bimaculoides|XP_014782538.1, O_bimaculoides|XP_014784289.1, O_bimaculoides|XP_014782056.1, O_bimaculoides|XP_014769720.1, O_bimaculoides|XP_014769696.1, O_bimaculoides|XP_014768189.1, O_bimaculoides|XP_014781808.1, O_bimaculoides|XP_014788029.1, O_bimaculoides|XP_014788034.1, O_bimaculoides|XP_014769714.1, O_bimaculoides|XP_014775063.1, O_bimaculoides|XP_014769794.1, O_bimaculoides|XP_014787163.1, O_bimaculoides|XP_014787399.1, O_bimaculoides|XP_014787390.1, O_bimaculoides|XP_014772592.1, O_bimaculoides|XP_014787398.1, O_bimaculoides|XP_014775419.1, O_bimaculoides|XP_014781173.1, O_bimaculoides|XP_014782048.1, O_bimaculoides|XP_014782540.1, O_bimaculoides|XP_014769124.1, O_bimaculoides|XP_014782607.1, O_bimaculoides|XP_014790840.1, O_bimaculoides|XP_014782312.1, O_bimaculoides|XP_014783584.1, O_bimaculoides|XP_014781806.1, O_bimaculoides|XP_014782917.1, O_bimaculoides|XP_014776267.1, O_bimaculoides|XP_014768941.1, O_bimaculoides|XP_014778211.1, O_bimaculoides|XP_014776137.1, O_bimaculoides|XP_014782514.1, O_bimaculoides|XP_014787659.1, O_bimaculoides|XP_014769711.1, O_bimaculoides|XP_014782912.1, O_bimaculoides|XP_014782539.1, O_bimaculoides|XP_014783888.1, O_bimaculoides|XP_014789744.1, O_bimaculoides|XP_014783885.1, O_bimaculoides|XP_014783886.1, O_bimaculoides|XP_014772722.1, O_bimaculoides|XP_014776407.1, O_bimaculoides|XP_014781193.1, O_bimaculoides|XP_014772598.1, O_bimaculoides|XP_014789992.1, O_bimaculoides|XP_014790004.1, O_bimaculoides|XP_014782311.1, O_bimaculoides|XP_014789584.1, O_bimaculoides|XP_014777354.1, O_bimaculoides|XP_014783378.1, O_bimaculoides|XP_014776274.1, O_bimaculoides|XP_014780996.1, O_bimaculoides|XP_014782665.1, O_bimaculoides|XP_014787112.1, O_bimaculoides|XP_014784249.1, O_bimaculoides|XP_014776266.1, O_bimaculoides|XP_014789951.1, O_bimaculoides|XP_014784000.1, O_bimaculoides|XP_014768971.1, O_bimaculoides|XP_014768963.1, O_bimaculoides|XP_014768968.1, O_bimaculoides|XP_014789586.1, O_bimaculoides|XP_014775066.1, O_bimaculoides|XP_014775070.1, O_bimaculoides|XP_014773915.1, O_bimaculoides|XP_014784940.1, O_bimaculoides|XP_014781807.1, O_bimaculoides|XP_014778108.1, O_bimaculoides|XP_014791211.1, O_bimaculoides|XP_014776401.1, O_bimaculoides|XP_014767660.1, O_bimaculoides|XP_014790675.1, O_bimaculoides|XP_014772749.1, O_bimaculoides|XP_014772742.1, O_bimaculoides|XP_014772735.1, O_bimaculoides|XP_014772725.1, O_bimaculoides|XP_014772750.1, O_bimaculoides|XP_014779345.1, O_bimaculoides|XP_014770951.1, O_bimaculoides|XP_014779346.1, O_bimaculoides|XP_014773561.1, O_bimaculoides|XP_014787652.1, O_bimaculoides|XP_014790263.1, O_bimaculoides|XP_014768942.1, O_bimaculoides|XP_014785719.1, O_bimaculoides|XP_014768958.1, O_bimaculoides|XP_014778878.1, O_bimaculoides|XP_014782903.1, O_bimaculoides|XP_014773808.1, O_bimaculoides|XP_014772733.1, O_bimaculoides|XP_014772726.1, O_bimaculoides|XP_014789416.1, O_bimaculoides|XP_014790423.1, O_bimaculoides|XP_014772737.1, O_bimaculoides|XP_014769285.1, O_bimaculoides|XP_014790054.1, O_bimaculoides|XP_014789411.1, O_bimaculoides|XP_014787287.1, O_bimaculoides|XP_014789417.1, O_bimaculoides|XP_014790106.1, O_bimaculoides|XP_014789624.1, O_bimaculoides|XP_014783526.1, O_bimaculoides|XP_014784589.1, O_bimaculoides|XP_014773290.1, O_bimaculoides|XP_014790103.1, O_bimaculoides|XP_014784588.1, O_bimaculoides|XP_014789625.1, O_bimaculoides|XP_014783525.1, O_bimaculoides|XP_014769315.1, O_bimaculoides|XP_014783527.1, O_bimaculoides|XP_014775067.1, O_bimaculoides|XP_014787290.1, O_bimaculoides|XP_014778890.1, O_bimaculoides|XP_014789415.1, O_bimaculoides|XP_014789991.1, O_bimaculoides|XP_014789413.1, O_bimaculoides|XP_014783523.1, O_bimaculoides|XP_014783528.1, O_bimaculoides|XP_014780227.1, O_bimaculoides|XP_014782520.1, O_bimaculoides|XP_014790002.1, O_bimaculoides|XP_014769303.1, O_bimaculoides|XP_014780707.1, O_bimaculoides|XP_014776409.1, O_bimaculoides|XP_014774829.1, O_bimaculoides|XP_014789995.1, O_bimaculoides|XP_014769282.1, O_bimaculoides|XP_014769284.1, O_bimaculoides|XP_014769283.1, O_bimaculoides|XP_014790052.1, O_bimaculoides|XP_014774681.1, O_bimaculoides|XP_014781839.1, O_bimaculoides|XP_014768174.1, O_bimaculoides|XP_014783586.1, O_bimaculoides|XP_014785720.1, O_bimaculoides|XP_014773423.1, O_bimaculoides|XP_014773947.1, O_bimaculoides|XP_014789279.1, O_bimaculoides|XP_014782315.1, O_bimaculoides|XP_014789957.1, O_bimaculoides|XP_014780703.1, O_bimaculoides|XP_014775064.1, O_bimaculoides|XP_014789278.1, O_bimaculoides|XP_014782606.1, O_bimaculoides|XP_014773809.1, O_bimaculoides|XP_014773421.1, O_bimaculoides|XP_014769796.1, O_bimaculoides|XP_014780702.1, O_bimaculoides|XP_014783017.1, O_bimaculoides|XP_014768965.1, O_bimaculoides|XP_014787653.1, O_bimaculoides|XP_014770952.1, O_bimaculoides|XP_014773416.1, O_bimaculoides|XP_014781689.1, O_bimaculoides|XP_014768456.1, O_bimaculoides|XP_014781686.1, O_bimaculoides|XP_014775415.1, O_bimaculoides|XP_014775412.1, O_bimaculoides|XP_014787157.1, O_bimaculoides|XP_014787161.1, O_bimaculoides|XP_014769471.1, O_bimaculoides|XP_014783205.1, O_bimaculoides|XP_014789499.1, O_bimaculoides|XP_014769489.1, O_bimaculoides|XP_014769469.1, O_bimaculoides|XP_014769490.1, O_bimaculoides|XP_014768457.1, O_bimaculoides|XP_014783208.1, O_bimaculoides|XP_014784100.1, O_bimaculoides|XP_014784127.1, O_bimaculoides|XP_014782268.1, O_bimaculoides|XP_014790836.1, O_bimaculoides|XP_014772715.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.333_1	O_bimaculoides|XP_014776564.1
OG0000007	A_granulata|evm.model.Super-Scaffold_100004.411_1	O_bimaculoides|XP_014780359.1
OG0000007	A_granulata|model.g6264.t1_model.g6265.t1_1	O_bimaculoides|XP_014789021.1
OG0000007	A_granulata|model.g13936.t1_1	O_bimaculoides|XP_014780502.1
OG0000007	A_granulata|model.g13938.t1_1	O_bimaculoides|XP_014769873.1
OG0000007	A_granulata|model.g5761.t1_1	O_bimaculoides|XP_014767862.1
OG0000009	A_granulata|evm.model.Super-Scaffold_100012.506_1	O_bimaculoides|XP_014769217.1
OG0000009	A_granulata|evm.model.Super-Scaffold_100006.1281_1, A_granulata|model.g14402.t1_1	O_bimaculoides|XP_014768598.1, O_bimaculoides|XP_014771819.1
OG0000011	A_granulata|model.g14860.t1_1	O_bimaculoides|XP_014785327.1
OG0000015	A_granulata|model.g11415.t1_1	O_bimaculoides|XP_014774750.1
OG0000015	A_granulata|evm.model.Super-Scaffold_100002.249_1	O_bimaculoides|XP_014789051.1
OG0000016	A_granulata|evm.model.Super-Scaffold_100003.698_1	O_bimaculoides|XP_014774772.1
OG0000017	A_granulata|model.g4966.t1_1, A_granulata|model.g706.t1_1, A_granulata|model.g4965.t1_1, A_granulata|evm.model.Super-Scaffold_100003.1034_1	O_bimaculoides|XP_014773512.1, O_bimaculoides|XP_014783213.1, O_bimaculoides|XP_014788111.1, O_bimaculoides|XP_014790640.1, O_bimaculoides|XP_014790641.1, O_bimaculoides|XP_014787378.1, O_bimaculoides|XP_014790639.1, O_bimaculoides|XP_014768533.1
OG0000019	A_granulata|model.g11695.t1_1	O_bimaculoides|XP_014772300.1
OG0000019	A_granulata|model.g11738.t1.5.5d3b86a4_1, A_granulata|model.g8205.t1_1	O_bimaculoides|XP_014780698.1
OG0000020	A_granulata|model.g11218.t1_1, A_granulata|model.g27971.t1_1, A_granulata|model.g12669.t1_1, A_granulata|model.g11836.t1_1, A_granulata|model.g12028.t1_1, A_granulata|model.g12671.t1_1, A_granulata|model.g3103.t1_1, A_granulata|model.g29636.t1_1, A_granulata|evm.model.Super-Scaffold_100008.138_1, A_granulata|evm.model.Super-Scaffold_505.2085_1, A_granulata|model.g28815.t1_1, A_granulata|model.g12858.t1_1, A_granulata|model.g31254.t1.2.5d3b8d4b_1, A_granulata|model.g28987.t1_1, A_granulata|model.g30887.t1_1, A_granulata|evm.model.Super-Scaffold_505.316_1	O_bimaculoides|XP_014770772.1, O_bimaculoides|XP_014770779.1, O_bimaculoides|XP_014780678.1, O_bimaculoides|XP_014782253.1, O_bimaculoides|XP_014783124.1, O_bimaculoides|XP_014784698.1
OG0000023	A_granulata|evm.model.Super-Scaffold_100002.117_1	O_bimaculoides|XP_014787445.1
OG0000024	A_granulata|evm.model.Super-Scaffold_100005.884_1	O_bimaculoides|XP_014778891.1
OG0000025	A_granulata|evm.model.Super-Scaffold_100008.679_1	O_bimaculoides|XP_014789699.1
OG0000026	A_granulata|evm.model.Super-Scaffold_100010.607_1	O_bimaculoides|XP_014789426.1
OG0000027	A_granulata|evm.model.Super-Scaffold_100013.373_1	O_bimaculoides|XP_014788131.1
OG0000028	A_granulata|evm.model.Super-Scaffold_100025.188_1	O_bimaculoides|XP_014790475.1
OG0000029	A_granulata|model.g2134.t1_1	O_bimaculoides|XP_014772627.1
OG0000030	A_granulata|model.g1298.t1_1	O_bimaculoides|XP_014784674.1
OG0000031	A_granulata|model.g100.t1_1	O_bimaculoides|XP_014787618.1
OG0000032	A_granulata|model.g501.t1_1	O_bimaculoides|XP_014773878.1
OG0000033	A_granulata|model.g1883.t1_1	O_bimaculoides|XP_014769418.1
OG0000034	A_granulata|model.g1662.t1_1	O_bimaculoides|XP_014777276.1
OG0000035	A_granulata|model.g3215.t1_1	O_bimaculoides|XP_014772225.1
OG0000036	A_granulata|model.g3997.t1_1	O_bimaculoides|XP_014776166.1
OG0000037	A_granulata|model.g4135.t1_1	O_bimaculoides|XP_014785114.1
OG0000038	A_granulata|model.g3909.t1_1	O_bimaculoides|XP_014773522.1
OG0000039	A_granulata|model.g5912.t1_1	O_bimaculoides|XP_014772348.1
OG0000040	A_granulata|model.g6072.t1_1	O_bimaculoides|XP_014788148.1
OG0000041	A_granulata|model.g8800.t1_1	O_bimaculoides|XP_014773542.1
OG0000042	A_granulata|model.g8671.t1_1	O_bimaculoides|XP_014775340.1
OG0000043	A_granulata|model.g9992.t1_1	O_bimaculoides|XP_014783376.1
OG0000044	A_granulata|model.g9597.t1_1	O_bimaculoides|XP_014767759.1
OG0000045	A_granulata|model.g11944.t1_1	O_bimaculoides|XP_014774176.1
OG0000046	A_granulata|model.g13152.t1_1	O_bimaculoides|XP_014772041.1
OG0000047	A_granulata|model.g15250.t1_1	O_bimaculoides|XP_014770126.1
OG0000048	A_granulata|model.g15596.t1_1	O_bimaculoides|XP_014783673.1
OG0000049	A_granulata|model.g17957.t1_1	O_bimaculoides|XP_014790578.1
OG0000050	A_granulata|model.g30402.t1_1	O_bimaculoides|XP_014773139.1
OG0000051	A_granulata|model.g29359.t1_1	O_bimaculoides|XP_014776868.1
OG0000052	A_granulata|model.g28777.t1_1	O_bimaculoides|XP_014790391.1
OG0000053	A_granulata|model.g29911.t1_1	O_bimaculoides|XP_014778145.1
OG0000054	A_granulata|model.g1284.t1.1.5d3b82d5_1	O_bimaculoides|XP_014779552.1
OG0000055	A_granulata|model.g2097.t1_1	O_bimaculoides|XP_014775648.1
OG0000056	A_granulata|model.g89.t1.1.5d3b81fd_1	O_bimaculoides|XP_014783300.1
OG0000057	A_granulata|model.g763.t1_model.g765.t1_1	O_bimaculoides|XP_014774168.1
OG0000058	A_granulata|model.g4291.t1_1	O_bimaculoides|XP_014785555.1
OG0000059	A_granulata|model.g6491.t1.1.5d3b8503_1	O_bimaculoides|XP_014789933.1
OG0000060	A_granulata|model.g7388.t1_1	O_bimaculoides|XP_014776694.1
OG0000061	A_granulata|model.g7604.t1.1.5d3b84b3_1	O_bimaculoides|XP_014790210.1
OG0000062	A_granulata|model.g8718.t1.1.5d3b85ae_1	O_bimaculoides|XP_014772987.1
OG0000063	A_granulata|model.g7299.t1_1	O_bimaculoides|XP_014776218.1
OG0000064	A_granulata|model.g13274.t1_1	O_bimaculoides|XP_014783678.1
OG0000065	A_granulata|model.g17523.t1_1	O_bimaculoides|XP_014772273.1
OG0000066	A_granulata|model.g17660.t1_1	O_bimaculoides|XP_014778623.1
OG0000067	A_granulata|model.g20823.t1_1	O_bimaculoides|XP_014771836.1
OG0000068	A_granulata|model.g29179.t1_1	O_bimaculoides|XP_014789121.1
OG0000069	A_granulata|model.g31682.t1_1	O_bimaculoides|XP_014772840.1
OG0000070	A_granulata|model.g32000.t1_1	O_bimaculoides|XP_014789614.1
